gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,3837,5,4.1114,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k5_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0312,0.18,180.79
gfx950,256,2,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2015,9,4.0342,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0117,0.37,185.74
gfx950,256,4,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2015,9,4.1748,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0195,0.71,182.37
gfx950,256,8,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2013,9,4.1051,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0186,1.44,191.32
gfx950,256,16,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,1357,9,4.3162,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0229,2.73,193.12
gfx950,256,32,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2015,9,4.1715,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0164,5.66,222.89
gfx950,256,48,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2159,9,4.3526,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k9_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0184,8.13,235.73
gfx950,256,64,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,3433,9,4.397,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k9_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0164,10.73,255.24
gfx950,256,80,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,3433,9,4.3684,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k9_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0174,13.5,278.95
gfx950,256,96,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,3431,9,4.5682,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.023,15.49,287.82
