gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,576,7168,torch.float8_e4m3fn,flydsl,961,7,5.0341,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x4x0x2_default_ks7,1.64,821.81,0.0
gfx950,256,2,576,7168,torch.float8_e4m3fn,flydsl,961,7,5.0499,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x4x0x2_default_ks7,3.27,820.89,0.0
gfx950,256,4,576,7168,torch.float8_e4m3fn,flydsl,2116,14,5.5256,flydsl_bpreshuflle_16x64x256_F8_F8_B16_0x4x0x1_default_ks14,5.98,753.23,0.0
gfx950,256,8,576,7168,torch.float8_e4m3fn,flydsl,373,7,5.2815,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x1x0x2_default_ks7,12.51,794.34,0.0
gfx950,256,16,576,7168,torch.float8_e4m3fn,flydsl,373,7,5.4885,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x1x0x2_default_ks7,24.07,776.51,0.0
gfx950,256,32,576,7168,torch.float8_e4m3fn,flydsl,961,7,6.0091,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x4x0x2_default_ks7,43.97,731.39,0.0
gfx950,256,64,576,7168,torch.float8_e4m3fn,ck,10,0,10.7167,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,49.31,434.95,0.0
gfx950,256,128,576,7168,torch.float8_e4m3fn,ck,10,0,9.9632,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,106.09,521.29,0.0
gfx950,256,256,576,7168,torch.float8_e4m3fn,ck,11,0,11.4055,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,185.34,548.74,0.0
gfx950,256,512,576,7168,torch.float8_e4m3fn,flydsl,382,0,12.801,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x1x0x2_default,330.28,655.31,0.0
gfx950,256,1024,576,7168,torch.float8_e4m3fn,flydsl,1722,0,18.4079,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x2x4x1_default,459.35,687.12,0.0
gfx950,256,2048,576,7168,torch.float8_e4m3fn,cktile,217,0,22.0234,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_48x64x256_1x4x1_16x16x128_default,767.88,961.17,0.0
gfx950,256,4096,576,7168,torch.float8_e4m3fn,flydsl,150,0,31.3258,flydsl_bpreshuflle_64x192x256_F8_F8_B16_1x0x0x2_default,1079.71,1219.68,0.0
gfx950,256,8192,576,7168,torch.float8_e4m3fn,cktile,94,0,48.2593,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_112x192x256_1x4x1_16x16x128_default,1401.71,1497.87,0.0
