M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
64,256,5120,False,torch.bfloat16,torch.float32,False,False
80,256,5120,False,torch.bfloat16,torch.float32,False,False
128,256,5120,False,torch.bfloat16,torch.float32,False,False
150,256,5120,False,torch.bfloat16,torch.float32,False,False
192,256,5120,False,torch.bfloat16,torch.float32,False,False
220,256,5120,False,torch.bfloat16,torch.float32,False,False
256,256,5120,False,torch.bfloat16,torch.float32,False,False
384,256,5120,False,torch.bfloat16,torch.float32,False,False
448,256,5120,False,torch.bfloat16,torch.float32,False,False
512,256,5120,False,torch.bfloat16,torch.float32,False,False
1,128,6144,False,torch.bfloat16,torch.float32,False,False
1,2048,6144,False,torch.bfloat16,torch.float32,False,False
1,3072,6144,False,torch.bfloat16,torch.float32,False,False
1,50016,6144,False,torch.bfloat16,torch.float32,False,False
1,6144,2048,False,torch.bfloat16,torch.float32,False,False
1,6144,3072,False,torch.bfloat16,torch.float32,False,False
2,128,6144,False,torch.bfloat16,torch.float32,False,False
2,2048,6144,False,torch.bfloat16,torch.float32,False,False
2,3072,6144,False,torch.bfloat16,torch.float32,False,False
2,50016,6144,False,torch.bfloat16,torch.float32,False,False
2,6144,2048,False,torch.bfloat16,torch.float32,False,False
2,6144,3072,False,torch.bfloat16,torch.float32,False,False
4,128,6144,False,torch.bfloat16,torch.float32,False,False
4,2048,6144,False,torch.bfloat16,torch.float32,False,False
4,3072,6144,False,torch.bfloat16,torch.float32,False,False
4,50016,6144,False,torch.bfloat16,torch.float32,False,False
4,6144,2048,False,torch.bfloat16,torch.float32,False,False
4,6144,3072,False,torch.bfloat16,torch.float32,False,False
8,128,6144,False,torch.bfloat16,torch.float32,False,False
8,2048,6144,False,torch.bfloat16,torch.float32,False,False
8,3072,6144,False,torch.bfloat16,torch.float32,False,False
8,50016,6144,False,torch.bfloat16,torch.float32,False,False
8,6144,2048,False,torch.bfloat16,torch.float32,False,False
8,6144,3072,False,torch.bfloat16,torch.float32,False,False
16,128,6144,False,torch.bfloat16,torch.float32,False,False
16,2048,6144,False,torch.bfloat16,torch.float32,False,False
16,3072,6144,False,torch.bfloat16,torch.float32,False,False
16,50016,6144,False,torch.bfloat16,torch.float32,False,False
16,6144,2048,False,torch.bfloat16,torch.float32,False,False
16,6144,3072,False,torch.bfloat16,torch.float32,False,False
32,128,6144,False,torch.bfloat16,torch.float32,False,False
32,2048,6144,False,torch.bfloat16,torch.float32,False,False
32,3072,6144,False,torch.bfloat16,torch.float32,False,False
32,50016,6144,False,torch.bfloat16,torch.float32,False,False
32,6144,2048,False,torch.bfloat16,torch.float32,False,False
32,6144,3072,False,torch.bfloat16,torch.float32,False,False
64,128,6144,False,torch.bfloat16,torch.float32,False,False
64,2048,6144,False,torch.bfloat16,torch.float32,False,False
64,3072,6144,False,torch.bfloat16,torch.float32,False,False
64,50016,6144,False,torch.bfloat16,torch.float32,False,False
64,6144,2048,False,torch.bfloat16,torch.float32,False,False
64,6144,3072,False,torch.bfloat16,torch.float32,False,False
128,128,6144,False,torch.bfloat16,torch.float32,False,False
128,2048,6144,False,torch.bfloat16,torch.float32,False,False
128,3072,6144,False,torch.bfloat16,torch.float32,False,False
128,50016,6144,False,torch.bfloat16,torch.float32,False,False
128,6144,2048,False,torch.bfloat16,torch.float32,False,False
128,6144,3072,False,torch.bfloat16,torch.float32,False,False
192,128,6144,False,torch.bfloat16,torch.float32,False,False
192,2048,6144,False,torch.bfloat16,torch.float32,False,False
192,3072,6144,False,torch.bfloat16,torch.float32,False,False
192,50016,6144,False,torch.bfloat16,torch.float32,False,False
192,6144,2048,False,torch.bfloat16,torch.float32,False,False
192,6144,3072,False,torch.bfloat16,torch.float32,False,False
256,128,6144,False,torch.bfloat16,torch.float32,False,False
256,2048,6144,False,torch.bfloat16,torch.float32,False,False
256,3072,6144,False,torch.bfloat16,torch.float32,False,False
256,50016,6144,False,torch.bfloat16,torch.float32,False,False
256,6144,2048,False,torch.bfloat16,torch.float32,False,False
256,6144,3072,False,torch.bfloat16,torch.float32,False,False
320,128,6144,False,torch.bfloat16,torch.float32,False,False
320,2048,6144,False,torch.bfloat16,torch.float32,False,False
320,3072,6144,False,torch.bfloat16,torch.float32,False,False
320,50016,6144,False,torch.bfloat16,torch.float32,False,False
320,6144,2048,False,torch.bfloat16,torch.float32,False,False
320,6144,3072,False,torch.bfloat16,torch.float32,False,False
512,128,6144,False,torch.bfloat16,torch.float32,False,False
512,2048,6144,False,torch.bfloat16,torch.float32,False,False
512,3072,6144,False,torch.bfloat16,torch.float32,False,False
512,50016,6144,False,torch.bfloat16,torch.float32,False,False
512,6144,2048,False,torch.bfloat16,torch.float32,False,False
512,6144,3072,False,torch.bfloat16,torch.float32,False,False
1024,128,6144,False,torch.bfloat16,torch.float32,False,False
1024,2048,6144,False,torch.bfloat16,torch.float32,False,False
1024,3072,6144,False,torch.bfloat16,torch.float32,False,False
1024,50016,6144,False,torch.bfloat16,torch.float32,False,False
1024,6144,2048,False,torch.bfloat16,torch.float32,False,False
1024,6144,3072,False,torch.bfloat16,torch.float32,False,False
2048,128,6144,False,torch.bfloat16,torch.float32,False,False
2048,2048,6144,False,torch.bfloat16,torch.float32,False,False
2048,3072,6144,False,torch.bfloat16,torch.float32,False,False
2048,50016,6144,False,torch.bfloat16,torch.float32,False,False
2048,6144,2048,False,torch.bfloat16,torch.float32,False,False
2048,6144,3072,False,torch.bfloat16,torch.float32,False,False
4096,128,6144,False,torch.bfloat16,torch.float32,False,False
4096,2048,6144,False,torch.bfloat16,torch.float32,False,False
4096,3072,6144,False,torch.bfloat16,torch.float32,False,False
4096,50016,6144,False,torch.bfloat16,torch.float32,False,False
4096,6144,2048,False,torch.bfloat16,torch.float32,False,False
4096,6144,3072,False,torch.bfloat16,torch.float32,False,False
8192,128,6144,False,torch.bfloat16,torch.float32,False,False
8192,2048,6144,False,torch.bfloat16,torch.float32,False,False
8192,3072,6144,False,torch.bfloat16,torch.float32,False,False
8192,50016,6144,False,torch.bfloat16,torch.float32,False,False
8192,6144,2048,False,torch.bfloat16,torch.float32,False,False
8192,6144,3072,False,torch.bfloat16,torch.float32,False,False
16384,128,6144,False,torch.bfloat16,torch.float32,False,False
16384,2048,6144,False,torch.bfloat16,torch.float32,False,False
16384,3072,6144,False,torch.bfloat16,torch.float32,False,False
16384,50016,6144,False,torch.bfloat16,torch.float32,False,False
16384,6144,2048,False,torch.bfloat16,torch.float32,False,False
16384,6144,3072,False,torch.bfloat16,torch.float32,False,False
